car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,manufacture,engine,Seats,company
Nissan Sunny XL D,771812.0,28000,Diesel,Manual,2017,1461,5,Nissan
Honda WR-V SV,1107382.0,24000,Petrol,Manual,2020,1199,5,Honda
Honda WR-V i-VTEC S,926174.0,23000,Petrol,Manual,2018,1199,5,Honda
Honda WR-V i-VTEC VX,1040268.0,24300,Petrol,Manual,2018,1199,5,Honda
Honda WR-V i-VTEC VX,1060402.0,51000,Petrol,Manual,2019,1199,5,Honda
Kia Seltos GTX Plus DCT,2000000.0,6000,Petrol,Automatic,2020,1353,5,Kia
Kia Seltos GTX Plus DCT,2315436.0,12600,Petrol,Automatic,2021,1353,5,Kia
Hyundai i10 Era,308724.0,120000,Petrol,Manual,2011,1086,5,Hyundai
Hyundai Grand i10 Nios Sportz CNG,1006711.0,5000,Cng,Manual,2022,1197,5,Hyundai
Hyundai Santro Xing GLS,181208.0,120000,Petrol,Manual,2010,1086,5,Hyundai
Honda Jazz V CVT,932885.0,40000,Petrol,Automatic,2018,1199,5,Honda
Honda City i-VTEC V,1053691.0,96000,Petrol,Manual,2018,1497,5,Honda
Honda City 1.5 S MT,436241.0,67000,Petrol,Manual,2010,1497,5,Honda
Honda City i-VTEC V,1060402.0,72000,Petrol,Manual,2018,1497,5,Honda
Hyundai i10 Magna,430872.0,89000,Petrol,Manual,2013,1197,5,Hyundai
Volkswagen Polo Diesel Trendline 1.2L,442953.0,64000,Diesel,Manual,2011,1199,5,Volkswagen
Honda Jazz 1.2 SV i VTEC,724832.0,42000,Petrol,Manual,2017,1199,5,Honda
Datsun RediGO T,362416.0,55000,Petrol,Manual,2017,799,5,Datsun
Hyundai Santro Era Executive BSIV,664429.0,30000,Petrol,Manual,2019,1086,5,Hyundai
Honda CR-V 2.4L 4WD AT,1409395.0,59000,Petrol,Automatic,2014,2354,5,Honda
Hyundai EON Era Plus,416107.0,15000,Petrol,Manual,2018,814,5,Hyundai
Tata Nexon XMA AMT,1241610.0,13700,Petrol,Automatic,2021,1199,5,Tata
Maruti Swift VXI BSIV,765100.0,25000,Petrol,Manual,2019,1197,5,Maruti
Toyota Fortuner 4X4 Diesel AT,5838926.0,26629,Diesel,Automatic,2021,2755,7,Toyota
Mercedes-Benz C-Class Progressive C 220d,6241610.0,20000,Diesel,Automatic,2019,1950,5,Mercedes-Benz
Mercedes-Benz GLC Progressive 220d,7241610.0,33000,Diesel,Automatic,2019,2143,5,Mercedes-Benz
BMW 3 Series Gran Limousine 330Li M Sport First Edition,8288590.0,25000,Petrol,Automatic,2021,1998,5,BMW
Audi Q3 30 TDI,3751677.0,55291,Diesel,Manual,2017,1968,5,Audi
Mercedes-Benz C-Class C 220 CDI Avantgarde,2214765.0,58500,Diesel,Automatic,2013,2143,5,Mercedes-Benz
Audi Q7 45 TDI Quattro Technology,9731543.0,15000,Diesel,Automatic,2018,2967,7,Audi
Renault Duster 85PS Diesel RxL Option,872483.0,90000,Diesel,Manual,2014,1461,5,Renault
Maruti Swift VXI BSIII,206711.0,99673,Petrol,Manual,2008,1298,5,Maruti
Tata Nexon EV Prime XZ Plus LUX,561073.0,24374,Electric,Automatic,2021,0,5,Tata
Volkswagen Vento Petrol Highline AT,526174.0,69828,Petrol,Automatic,2011,1598,5,Volkswagen
Maruti Baleno 1.2 Alpha,797315.0,72820,Petrol,Manual,2016,1197,5,Maruti
Mercedes-Benz C-Class Progressive C 220d,4998657.0,20785,Diesel,Automatic,2019,1950,5,Mercedes-Benz
Maruti Swift Dzire VXI AT Optional,789261.0,31172,Petrol,Automatic,2016,1197,5,Maruti
Hyundai Grand i10 Sportz,606711.0,24395,Petrol,Manual,2016,1197,5,Hyundai
MG Hector Sharp DCT,2449664.0,11050,Petrol,Automatic,2021,1451,5,MG
Toyota Innova 2.5 GX (Diesel) 7 Seater BS IV,1038926.0,123394,Diesel,Manual,2013,2494,7,Toyota
Maruti Swift ZDi,565100.0,105053,Diesel,Manual,2013,1248,5,Maruti
Hyundai i20 Sportz,1132885.0,10283,Petrol,Manual,2021,1197,5,Hyundai
Tata Harrier XZ Plus Dark Edition,2951677.0,2443,Diesel,Manual,2022,1956,5,Tata
Audi Q5 3.0 TDI Quattro,1335570.0,68000,Diesel,Automatic,2011,2967,5,Audi
Mahindra Ssangyong Rexton RX7,1308724.0,72000,Diesel,Automatic,2013,2696,7,Mahindra
Hyundai i10 Magna 1.1L,302013.0,38000,Petrol,Manual,2011,1086,5,Hyundai
Maruti Swift Dzire VXI 1.2 BS IV,872483.0,65000,Petrol,Manual,2019,1197,5,Maruti
Audi Q7 45 TDI Quattro Premium Plus,2516778.0,43000,Diesel,Automatic,2014,2967,7,Audi
Hyundai i10 Sportz 1.1L,570469.0,52000,Petrol,Manual,2014,1086,5,Hyundai
Mahindra XUV500 W8 FWD,1000000.0,117000,Diesel,Manual,2012,2179,7,Mahindra
Hyundai Verna 1.6 VTVT SX Option,1107382.0,84000,Petrol,Manual,2016,1591,5,Hyundai
Maruti Alto 800 LXI,273825.0,45080,Petrol,Manual,2015,796,5,Maruti
Maruti Eeco 5 Seater AC BSIV,630872.0,39341,Petrol,Manual,2019,1196,5,Maruti
Mahindra Scorpio 2.6 Turbo 7 Str,442953.0,133000,Diesel,Manual,2007,2609,8,Mahindra
Mahindra e2o T2,430872.0,54112,Electric,Automatic,2014,0,5,Mahindra
Hyundai i20 Sportz Plus BSIV,1100671.0,14824,Petrol,Manual,2020,1197,5,Hyundai
Honda City i VTEC VX,1241610.0,82500,Petrol,Manual,2017,1497,5,Honda
Kia Seltos HTK Plus G,1810738.0,17922,Petrol,Manual,2020,1497,5,Kia
Mitsubishi Pajero Sport 4X4 AT,2248322.0,85000,Diesel,Automatic,2015,2477,6,Mitsubishi
Hyundai Grand i10 AT Asta,771812.0,67000,Petrol,Automatic,2015,1197,5,Hyundai
Honda Jazz V CVT,1000000.0,35000,Petrol,Automatic,2018,1199,5,Honda
Maruti Alto 800 LXI,463087.0,53000,Petrol,Manual,2016,796,5,Maruti
MG Hector Hybrid Sharp MT,2785234.0,598,Petrol,Manual,2022,1451,5,MG
Maruti Ertiga ZDI Plus,1197315.0,75727,Diesel,Manual,2019,1248,7,Maruti
Kia Seltos GTX Plus DCT,2536912.0,7000,Petrol,Automatic,2020,1353,5,Kia
Maruti Vitara Brezza ZDi Plus Dual Tone,1151677.0,62403,Diesel,Manual,2016,1248,5,Maruti
Volkswagen Polo 1.5 TDI Comfortline,608053.0,44487,Diesel,Manual,2014,1498,5,Volkswagen
Toyota Innova Crysta 2.4 ZX AT,3825503.0,47000,Diesel,Automatic,2020,2393,7,Toyota
Hyundai i10 Magna 1.1L,255033.0,31212,Petrol,Manual,2008,1086,5,Hyundai
Skoda Superb Laurin & klement,4516778.0,17776,Petrol,Automatic,2020,1984,5,Skoda
Hyundai Verna 1.6 CRDi S,883221.0,31837,Diesel,Manual,2015,1582,5,Hyundai
Audi A3 35 TDI Premium Plus,3463087.0,39000,Diesel,Automatic,2020,1968,5,Audi
Maruti Alto LXi BSIII,161073.0,78000,Petrol,Manual,2006,796,5,Maruti
Ford Ecosport 1.5 Petrol Titanium Plus AT BSIV,1590604.0,31000,Petrol,Automatic,2020,1497,5,Ford
Maruti Swift VDI,520805.0,115986,Diesel,Manual,2013,1248,5,Maruti
Toyota Etios G SP,526174.0,73029,Petrol,Manual,2014,1496,5,Toyota
Hyundai Verna 1.6 SX VTVT AT,852348.0,25000,Petrol,Automatic,2013,1591,5,Hyundai
